,AWeight,PC1,PC2,PC3,PC4,PC5,PC6,Weight,naccr,naro,ncarb,ncobr,ncocl,ncof,ncoi,ndb,ndonr,nhal,nhet,nhev,nhyd,nnitro,noxy,nphos,nring,nrot,nsb,nsulph,nta,ntb
188,12.51,23,35,52,75,108,130,250.192,3,12,17,0,0,0,0,0,2,0,3,20,17,1,2,0,4,0,11,2,37,0
189,13.207,28,42,62,92,133,173,330.187,6,16,17,0,0,0,0,2,1,0,8,25,11,1,7,0,4,3,10,7,36,0
190,13.008,23,38,57,83,123,163,260.16,5,0,15,0,0,0,0,1,0,0,5,20,22,0,5,0,5,0,22,5,42,0
191,13.238,13,17,19,23,24,19,172.095,3,6,9,0,0,0,0,2,1,0,4,13,8,0,4,0,1,2,5,4,21,0
192,12.569,38,52,68,88,117,129,427.333,5,22,28,0,0,1,0,0,1,1,6,34,31,4,1,0,5,8,16,1,65,0
193,12.851,19,24,24,27,32,28,244.165,4,6,14,0,0,0,0,1,3,0,5,19,22,2,3,0,1,8,12,3,41,0
194,13.257,16,24,27,31,34,34,212.12,4,5,10,0,0,0,0,2,3,0,6,16,16,2,4,0,1,3,9,4,32,0
195,14.398,14,18,19,25,26,27,201.576,5,6,8,0,1,0,0,0,2,1,6,14,14,5,0,0,1,4,8,0,28,0
196,14.222,21,30,41,54,61,68,270.213,8,15,9,0,0,0,0,1,1,0,10,19,7,7,2,0,3,3,5,2,26,0
197,13.238,12,13,10,9,8,7,172.095,2,0,9,0,0,0,0,2,2,0,4,13,16,0,4,0,0,8,10,4,29,0
198,16.065,20,28,36,40,49,52,305.236,8,11,10,0,0,0,0,2,0,0,9,19,12,3,3,1,2,5,7,3,31,0
199,13.647,26,39,51,71,90,103,341.18,5,6,16,0,0,3,0,4,1,3,9,25,15,2,4,0,2,3,16,4,40,0
